Signature;diameter;average distance;number_of_connections
"C(3; 1, 2)";1;1;7
"C(4; 1, 2)";1;1;4
"C(5; 1, 2)";1;1;2
"C(6; 1, 2)";2;1,2;5
"C(7; 1, 2)";2;1,33333;6
"C(7; 1, 3)";2;1,33333;6
"C(8; 1, 2)";2;1,42857;11
"C(8; 1, 3)";2;1,42857;11
"C(9; 1, 2)";2;1,5;23
"C(9; 1, 3)";2;1,5;23
"C(9; 1, 4)";2;1,5;23
"C(10; 1, 4)";2;1,55556;22
"C(11; 1, 3)";2;1,6;41
"C(11; 1, 4)";2;1,6;41
"C(13; 1, 5)";2;1,66667;134
"C(14; 1, 4)";3;1,76923;131
"C(15; 1, 4)";3;1,85714;160
"C(15; 1, 6)";3;1,85714;160
"C(16; 1, 6)";3;1,93333;96
"C(17; 1, 4)";3;2;112
"C(17; 1, 5)";3;2;112
"C(17; 1, 7)";3;2;112
"C(18; 1, 4)";3;2,05882;146
"C(18; 1, 5)";3;2,05882;146
"C(18; 1, 7)";3;2,05882;146
"C(19; 1, 4)";3;2,11111;180
"C(19; 1, 5)";3;2,11111;180
"C(19; 1, 7)";3;2,11111;180
"C(19; 1, 8)";3;2,11111;180
"C(20; 1, 8)";3;2,15789;191
"C(21; 1, 6)";3;2,2;307
"C(21; 1, 8)";3;2,2;307
"C(22; 1, 6)";3;2,2381;283
"C(23; 1, 5)";3;2,27273;491
"C(23; 1, 9)";3;2,27273;491
"C(25; 1, 7)";3;2,33333;466
"C(26; 1, 10)";4;2,4;546
"C(27; 1, 6)";4;2,46154;565
"C(28; 1, 6)";4;2,51852;657
"C(28; 1, 8)";4;2,51852;657
"C(29; 1, 8)";4;2,57143;744
"C(29; 1, 11)";4;2,57143;744
"C(29; 1, 12)";4;2,57143;744
"C(31; 1, 7)";4;2,66667;955
"C(31; 1, 9)";4;2,66667;955
"C(31; 1, 12)";4;2,66667;955
"C(31; 1, 13)";4;2,66667;955
"C(32; 1, 7)";4;2,70968;980
"C(32; 1, 9)";4;2,70968;980
"C(32; 1, 12)";4;2,70968;980
"C(33; 1, 6)";4;2,75;1102
"C(33; 1, 7)";4;2,75;1102
"C(33; 1, 9)";4;2,75;1102
"C(33; 1, 14)";4;2,75;1102
"C(34; 1, 6)";4;2,78788;1959
"C(35; 1, 10)";4;2,82353;1379
"C(36; 1, 8)";4;2,85714;2356
"C(36; 1, 10)";4;2,85714;2356
"C(37; 1, 8)";4;2,88889;1634
"C(37; 1, 14)";4;2,88889;1634
"C(38; 1, 16)";4;2,91892;1744
"C(39; 1, 7)";4;2,94737;1887
"C(39; 1, 11)";4;2,94737;1887
"C(41; 1, 9)";4;3;2438
"C(42; 1, 16)";5;3,04878;2315
"C(43; 1, 12)";5;3,09524;2853
"C(43; 1, 18)";5;3,09524;2853
"C(44; 1, 8)";5;3,13953;3031
"C(45; 1, 8)";5;3,18182;3105
"C(45; 1, 10)";5;3,18182;3105
"C(45; 1, 17)";5;3,18182;3105
"C(45; 1, 19)";5;3,18182;3105
"C(46; 1, 10)";5;3,22222;3535
"C(47; 1, 13)";5;3,26087;3871
"C(47; 1, 18)";5;3,26087;3871
"C(48; 1, 20)";5;3,29787;3932
"C(49; 1, 9)";5;3,33333;4782
"C(49; 1, 11)";5;3,33333;4782
"C(50; 1, 9)";5;3,36735;4575
"C(50; 1, 11)";5;3,36735;4575
"C(50; 1, 14)";5;3,36735;4575
"C(50; 1, 19)";5;3,36735;4575
"C(50; 1, 21)";5;3,36735;4575
"C(51; 1, 9)";5;3,4;4940
"C(51; 1, 11)";5;3,4;4940
"C(51; 1, 14)";5;3,4;4940
"C(52; 1, 8)";5;3,43137;5135
"C(52; 1, 22)";5;3,43137;5135
"C(53; 1, 8)";5;3,46154;5967
"C(53; 1, 20)";5;3,46154;5967
"C(54; 1, 12)";5;3,49057;5606
"C(55; 1, 10)";5;3,51852;6653
"C(55; 1, 12)";5;3,51852;6653
